Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
BETHANY,3,10,15.164535206995906,2.9539304999231977
BIANCA,15,191,75.82267603497952,56.42007254853308
BLAKE,13,323,65.71298589698226,95.4119551475193
BODHI,22,15,111.20659151796997,4.4308957498847965
BONNIE,35,33,176.91957741495224,9.747970649746552
BRADLEY,12,242,60.65814082798362,71.48511809814138
BRADY,37,78,187.0292675529495,23.040657899400944
BRANDON,4,1440,20.219380275994542,425.3659919889405
BRAYAN,1,125,5.0548450689986355,36.924131249039974
BRAYDEN,1,282,5.0548450689986355,83.30084009783418
BRIAN,5,631,25.274225344993177,186.3930145451538
BRIANA,3,147,15.164535206995906,43.422778348871006
BRIANNA,1,887,5.0548450689986355,262.0136353431877
BRIDGET,2,37,10.109690137997271,10.929542849715832
BRIELLE,1,350,5.0548450689986355,103.38756749731192
BRITNEY,1,53,5.0548450689986355,15.65583164959295
BRITTANY,3,153,15.164535206995906,45.19513664882493
BRODY,41,107,207.24864782894403,31.607056349178215
BROOKE,9,232,45.493605620987715,68.5311875982182
BROOKLYN,112,49,566.1426477278471,14.47425944962367
BROOKS,7,25,35.383915482990446,7.384826249807994
BRUCE,75,63,379.11338017489766,18.609762149516147
BRUNO,126,10,636.910478693828,2.9539304999231977
BRYAN,3,666,15.164535206995906,196.73177129488496
BRYANT,2,68,10.109690137997271,20.086727399477745
BRYCE,1,275,5.0548450689986355,81.23308874788793
BRYNN,3,34,15.164535206995906,10.043363699738872
BRYSON,1,115,5.0548450689986355,33.97020074911678
BYRON,2,68,10.109690137997271,20.086727399477745
CADEN,1,60,5.0548450689986355,17.723582999539186
CAIRO,15,24,75.82267603497952,7.089433199815675
CALEB,10,864,50.54845068998635,255.21959519336428
CALI,31,41,156.7001971389577,12.111115049685111
CALVIN,14,143,70.76783096598089,42.24120614890173
CAMDEN,1,36,5.0548450689986355,10.634149799723511
CAMERON,2,613,10.109690137997271,181.07593964529204
CAMILA,4,1080,20.219380275994542,319.02449399170536
CAMILLA,3,79,15.164535206995906,23.33605094939326
CAMILLE,1,70,5.0548450689986355,20.677513499462385
CAMILO,1,23,5.0548450689986355,6.794040149823355
CARINA,2,41,10.109690137997271,12.111115049685111
CARLA,5,41,25.274225344993177,12.111115049685111
CARLOS,4,534,20.219380275994542,157.73988869589877
CARLY,9,10,45.493605620987715,2.9539304999231977
CARMELO,12,77,60.65814082798362,22.745264849408624
CARMEN,6,65,30.32907041399181,19.200548249500784
CARMINE,4,11,20.219380275994542,3.2493235499155175
CAROLINA,4,57,20.219380275994542,16.83740384956223
CAROLINE,1,440,5.0548450689986355,129.9729419966207
CARSON,4,112,20.219380275994542,33.08402159913982
CARTER,15,704,75.82267603497952,207.95670719459312
CASEY,48,12,242.6325633119345,3.5447165999078374
CASSANDRA,3,30,15.164535206995906,8.861791499769593
CASSIDY,8,30,40.438760551989084,8.861791499769593
CATALINA,3,89,15.164535206995906,26.28998144931646
CAYDEN,1,130,5.0548450689986355,38.40109649900157
CECELIA,1,11,5.0548450689986355,3.2493235499155175
CECILIA,4,204,20.219380275994542,60.260182198433235
CELESTE,2,34,10.109690137997271,10.043363699738872
CELINE,1,124,5.0548450689986355,36.62873819904765
CESAR,8,165,40.438760551989084,48.739853248732764
CHACE,2,11,10.109690137997271,3.2493235499155175
CHAD,1,34,5.0548450689986355,10.043363699738872
CHANA,1,882,5.0548450689986355,260.53667009322606
CHANCE,44,138,222.41318303593994,40.76424089894013
CHANEL,32,22,161.75504220795634,6.498647099831035
CHARLES,23,1049,116.26143658696861,309.86730944194346
CHARLIE,514,237,2598.1903654652983,70.00815284817979
CHARLOTTE,37,1301,187.0292675529495,384.30635804000804
CHASE,83,709,419.5521407268867,209.43367244455473
CHELSEA,41,456,207.24864782894403,134.69923079649783
CHEYENNE,2,20,10.109690137997271,5.907860999846395
CHIARA,1,10,5.0548450689986355,2.9539304999231977
