Name,Count
ASLAN,3
ASLYN,1
ASMARA,1
ASOKA,1
ASPARAGUS,1
ASPEN,16
ASSATA,1
ASTA,4
ASTER,3
ASTLA,1
ASTOR,3
ASTORIA,2
ASTRID,7
ASTRO,24
ASTROY,1
ATARI,2
ATHENA,56
ATKINS,1
ATLANTA,1
ATLAS,13
ATOM,1
ATREIDES,1
ATREYU,2
ATTERBURY,1
ATTICUS,16
ATTILA,1
AUBREY,2
AUDREY,13
AUGGIE,10
AUGGY,1
AUGIE,14
AUGIESTINA,1
AUGUST,14
AUGUSTINE,1
AUGUSTUS,17
AULË,1
AUNIS,1
AURA,1
AURELIA,2
AURON,1
AURORA,11
AUSHA,1
AUSSIE,4
AUSTEN,1
AUSTIN,15
AUTUMN,12
AUZWALD,1
AVA,44
AVACYN,1
AVARI,1
AVEN,1
AVERI,1
AVERY,14
AVERYDAISY,1
AVETT,1
AVIE,1
AVILES,1
AVIS,1
AVIVA,1
AVIVI,1
AVOCADO,3
AVON,2
AVRIL,1
AVY,1
AWESOME,2
AXE,1
AXEL,19
AXL,2
AXLE,2
AYALAH,1
AYCSA,1
AYLA,2
AYO,1
AYRES,1
AYSEN,1
AYUMI,1
AZA,1
AZABACHE,2
AZARI,1
AZI,1
AZIMA,1
AZUCAR,1
AZULA,2
AZUMI,1
AZURI,1
AZZURE,1
AZZURRA,1
B,1
BABA,4
BABBY,1
BABE,5
BABETTE,3
BABIE,2
BABKA,3
BABO,1
BABOU,1
BABS,3
BABSJOHNSON,1
BABY,78
BABYBLUE,1
BABYBOY,1
BABYGIRL,1
BABYLOLA,1
BACARDI,1
BACCHUS,3
BACH,1
BACHEERA,1
BACHO,1
BACI,16
BACIO,2
BACO,1
BACON,13
BACORN,1
BAD,1
BADEM,1
BADGER,1
BADIN,1
BADU,1
BAEBEA,1
BAECHOO,1
BAELFIRE,1
BAER,1
BAFFI,2
BAGEL,17
BAGELS,3
BAGHEERA,1
BAGO,1
BAGUETTE,2
BAHAMAS,1
BAICAI,1
BAIL,1
BAILEE,1
BAILEIGH,1
BAILEY,262
BAILEYM,1
BAILEYRAYNE,1
BAILLIE,1
BAILY,1
BAILYEE,1
BAJIE,1
BAJJI,1
BAJKA,1
BAKA,1
BAKER,6
BAKU,2
BALBOA,3
BALDWIN,2
BALEIA,1
BALI,4
BALISSA,1
BALL,1
BALLERINA,1
BALMAIN,1
BALOO,9
BALOT,1
BALTHAZAR,3
BALTHAZER,1
BALTHUS,1
BALTO,13
BALU,2
BAM,29
BAMA,2
BAMBA,4
BAMBAM,9
BAMBI,32
BAMBINA,4
BAMBINO,2
BAMBOO,1
BAMIE,1
BAMPO,1
BAMZ,2
BAN,1
BANANA,6
BANCROFT,1
BANDERA,1
BANDIDA,1
BANDIDO,1
BANDIE,1
BANDINO,2
BANDIT,69
BANDITO,2
BANDON,1
BANDS,1
BANE,15
BANGO,1
BANJI,1
BANJO,22
BANJOH,1
BANKS,6
BANKSY,7
BANLUO,1
BANNER,2
BANSHEE,1
BAO,3
BAOBAO,1
BAPA,1
BAPO,1
BARAK,3
BARBARA,1
BARBARITA,1
BARBI,1
BARBIE,3
BARCLAY,2
BARCLEY,1
BARD,1
BARDEN,1
BARDO,1
BARDOT,2
BARKAVIOUS,1
BARKIS,1
BARKLEY,24
BARKLY,1
BARKUS,1
BARKY,1
BARLEY,8
BARLOW,1
BARNABEE,1
BARNABY,10
BARNACLES,1
BARNES,2
BARNEY,29
BARON,11
BARONE,1
BARONESS,1
BARRERA,1
BARRETT,1
BARRON,2
BARRY,8
BARS,1
BART,6
BARTHOLOMEW,1
BARTLET,2
BARTLETT,1
BARTON,2
BAS,1
BASCO,1
BASEL,1
BASHA,1
BASIA,1
BASIL,15
BASKETS,1
BASQUIATORIGINALLY,1
BASSIE,2
BASTAUROSS,1
BASTIAN,1
BATES,1
BATGIRL,1
BATI,1
BATMAN,15
BATO,1
BATTLECAT,1
BATTY,1
BATU,1
BATYA,1
BAUER,1
BAXTER,59
BAXTERBEAR,1
BAY,2
BAYA,1
BAYBEE,1
BAYGL,1
BAYLEE,4
BAYLENE,1
BAYLEY,1
BAYMAX,2
BAZ,2
BAZI,1
BAZINGA,1
BAZOOKA,1
BB,7
BBANG,1
BBO,1
BE,2
BEA,8
BEACON,3
BEAKER,3
BEAL,1
BEAMA,1
BEAMER,3
BEAN,17
BEANIE,6
BEANS,9
BEANY,1
BEAR,139
BEARDEN,1
BEARWOLF,1
BEAST,6
BEASTIE,2
BEASTY,1
BEATRICE,10
BEATRIX,7
BEATRIZ,1
BEATTIE,1
BEAU,46
BEAUFORT,1
BEAUJOLAIS,1
BEAUMONT,1
BEAUREGARD,3
BEAUTIFUL,1
BEAUTY,18
BEAUX,4
BEBA,3
BEBE,21
BEBEBIRMA,1
BEBO,4
BEBOP,1
BECANI,1
BECCA,6
BECK,1
BECKET,2
BECKETT,3
BECKHAM,8
BECKUM,1
BECKY,11
BEDELIA,1
BEDFORD,1
BEE,2
BEEBEE,1
BEEBO,1
BEECHER,1
BEEF,2
